380525,so41604149
380528,so41604148
380784,so41608780
380785,so41608766
380785,so41608767
380785,so41608768
380785,so41608769
380785,so41608770
380785,so41608771
380785,so41608772
380785,so41608773
380785,so41608774
380785,so41608775
380785,so41608776
380785,so41608778
380787,so41608779
380788,so41608855
380789,so41608858
380790,so41608856
380791,so41608857
381014,so41613022
381018,so41613023
381019,so41613013
381020,so41613014
381021,so41613015
381022,so41613016
381023,so41613018
381024,so41613012
381025,so41613025
381026,so41613026
381028,so41613017
381030,so41613021
381031,so41613024
381032,so41613027
381034,so41613073
381035,so41613109
381035,so41613110
381035,so41613111
381035,so41613112
381038,so41613108
381039,so41613116
381040,so41613115
381041,so41613114
381042,so41613113
381044,so41613222
381045,so41613225
381046,so41613226
381047,so41613224
381998,so41631865
